Number,Name of ship,Master,Tonnage,Type of ship,Built,Yard,Chamber,Date of departure,Place of departure,Arrival at Cape,Departure from Cape,Date of arrival at destination,Place of arrival,Chamber for which cargo is destined,Particulars,people
846.2,DORDRECHT,"Maasijk, Michael Michaelsz. van",920,fregat?,1652,Delft,Delft,11-03-1656,Goeree,no call,"",21-08-1656,Batavia,"","","{""Seafarers""=>{""I""=>260, ""II""=>"""", ""III""=>"""", ""IV""=>"""", ""V""=>6, ""VI""=>150}, ""Soldiers""=>{""I""=>"""", ""II""=>"""", ""III""=>"""", ""IV""=>"""", ""V""=>"""", ""VI""=>94}, ""Passengers""=>{""I""=>"""", ""II""=>"""", ""III""=>"""", ""IV""=>"""", ""V""=>"""", ""VI""=>9}}"
847.3,KONING VAN POLEN,"Karelsz., Robbert",520,fluit,"",Amsterdam,Zeeland,11-03-1656,Wielingen,no call,"",12-08-1656,Batavia,"",Three English soldiers were taken from board by an English ship in the Channel. 1661/1662 broken up at Onrust.,"{""Seafarers""=>{""I""=>"""", ""II""=>"""", ""III""=>"""", ""IV""=>"""", ""V""=>2, ""VI""=>71}, ""Soldiers""=>{""I""=>"""", ""II""=>"""", ""III""=>"""", ""IV""=>"""", ""V""=>"""", ""VI""=>66}}"
848.8,HENRIETTE LOUISE,"Amers, Cent",750,"",1635,Zeeland,Zeeland,08-04-1656,Wielingen,03-08-1656,19-08-1656,28-10-1656,Batavia,"","","{""Total""=>{""I""=>273, ""II""=>1, ""III""=>"""", ""IV""=>"""", ""V""=>"""", ""VI""=>""""}}"
849.1,WAKENDE BOEI,"",178,fluit,1656,Amsterdam,Amsterdam,11-04-1656,Vlie,11-09-1656,22-09-1656,05-12-1656,Batavia,"","Via Plymouth (2x) and Falmouth. Two boys from Dunkirk came on board in England, one of them was drowned later. On 20-02-1666 laid up and sold.","{""Seafarers""=>{""I""=>38, ""II""=>0, ""III""=>"""", ""IV""=>"""", ""V""=>1, ""VI""=>33}, ""Soldiers""=>{""I""=>"""", ""II""=>"""", ""III""=>"""", ""IV""=>"""", ""V""=>0, ""VI""=>8}}"
850.3,PAREL,"Vries, Pieter Jansz. de",1100,"",1651,Amsterdam,Amsterdam,11-04-1656,Vlie,06-08-1656,21-08-1656,03-11-1656,Batavia,"","","{""Seafarers""=>{""I""=>347, ""II""=>3, ""III""=>9, ""IV""=>0, ""V""=>7, ""VI""=>225}, ""Soldiers""=>{""I""=>"""", ""II""=>"""", ""III""=>"""", ""IV""=>"""", ""V""=>"""", ""VI""=>95}, ""Passengers""=>{""I""=>"""", ""II""=>"""", ""III""=>"""", ""IV""=>"""", ""V""=>"""", ""VI""=>11}}"
851.1,WACHTER,"...., Evert","",fluit,"",Amsterdam,Amsterdam,11-04-1656,Vlie,26-11-1656,03-12-1656,09-02-1657,Batavia,"",From 18-04 till 17-05-1656 at Wight. On 11-11-1659 wrecked at Palembang.,"{""Seafarers""=>{""I""=>40, ""II""=>0, ""III""=>0, ""IV""=>0, ""V""=>0, ""VI""=>39}, ""Soldiers""=>{""I""=>"""", ""II""=>"""", ""III""=>"""", ""IV""=>1, ""V""=>"""", ""VI""=>1}, ""Passengers""=>{""I""=>"""", ""II""=>"""", ""III""=>"""", ""IV""=>"""", ""V""=>"""", ""VI""=>1}}"
852.1,EMMELOORD,"Stralen, Frans Hendriksz. van","",galjoot? bootje?,1655,Enkhuizen,Enkhuizen,01-05-1656,Vlie,16-09-1656,01-10-1656,04-12-1656,Batavia,"",For 10 days at the Shetland I. In 1663 wrecked at the island Damman(?).,"{""Total""=>{""I""=>19, ""II""=>0, ""III""=>0, ""IV""=>3, ""V""=>0, ""VI""=>22}}"
853.1,ENS,"","",galjoot,1655,Enkhuizen,Enkhuizen,01-05-1656,Vlie,"","",02-12-1656,Batavia,"","Via S. Vincente, one man deserted. In 1662 broken up at Onrust.","{""Total""=>{""I""=>19, ""II""=>"""", ""III""=>"""", ""IV""=>"""", ""V""=>1, ""VI""=>17}}"
854.1,ZEERIDDER,"Roskam, Jan Leendertsz.",160,fluit? jacht?,"",Zeeland,Zeeland,15-05-1656,Wielingen,14-09-1656,01-10-1656,06-12-1656,Batavia,"",On 13-08-1669 laid up and sold at Batavia.,"{""Seafarers""=>{""I""=>64, ""II""=>0, ""III""=>1, ""IV""=>"""", ""V""=>1, ""VI""=>40}, ""Soldiers""=>{""I""=>"""", ""II""=>"""", ""III""=>"""", ""IV""=>"""", ""V""=>"""", ""VI""=>22}}"
855.5,PRINSES ROYAAL,"Engelbrechtsz., Reinoud",1100,"","",Amsterdam,Amsterdam,31-05-1656,Vlie,21-09-1656,07-10-1656,07-12-1656,Batavia,"",Via S. Vincente and Sto. Antao.Three men were drowned at the Cape.,"{""Seafarers""=>{""I""=>356, ""II""=>0, ""III""=>13, ""IV""=>"""", ""V""=>4, ""VI""=>150}, ""Soldiers""=>{""I""=>"""", ""II""=>"""", ""III""=>"""", ""IV""=>"""", ""V""=>"""", ""VI""=>144}, ""Passengers""=>{""I""=>"""", ""II""=>"""", ""III""=>"""", ""IV""=>"""", ""V""=>"""", ""VI""=>19}}"
856.1,ULYSSES,"Timonsz., Jan",400/560,fluit,"",Amsterdam,Amsterdam,31-05-1656,Vlie,31-10-1656,02-11-1656,26-01-1657,Batavia,"","","{""Total""=>{""I""=>30, ""II""=>1, ""III""=>"""", ""IV""=>"""", ""V""=>1, ""VI""=>29}}"
857.1,URK,"","",galjootje?,"","",Enkhuizen,31-05-1656,Vlie,no call,"",10-01-1657,Batavia,"",On 17-08-1661 wrecked in a battle against the Chinese.,"{""Total""=>{""I""=>21, ""II""=>"""", ""III""=>"""", ""IV""=>"""", ""V""=>0, ""VI""=>21}}"
858.8,BREDA,"Konijn, Albert Jansz.",1050,"",1637,Hoorn,Hoorn,01-06-1656,Vlie,17-10-1656,01-11-1656,20-01-1657,Batavia,"",According to Daghregister 1656/7 it departed on 01-07-1656.,"{""Seafarers""=>{""I""=>""250?"", ""II""=>"""", ""III""=>7, ""IV""=>2, ""V""=>29, ""VI""=>122}, ""Soldiers""=>{""I""=>"""", ""II""=>"""", ""III""=>4, ""IV""=>5, ""V""=>"""", ""VI""=>118}, ""Passengers""=>{""I""=>"""", ""II""=>"""", ""III""=>3, ""IV""=>0, ""V""=>"""", ""VI""=>7}}"
859.1,MOLEN,"Molenwerf, Jakob Stevensz.","",fluit,"",Hoorn,Hoorn,01-06-1656,Vlie,09-11-1656,21-11-1656,11-02-1657,Batavia,"","Via St. Helena. In March 1658 wrecked on a reef at Ceylon, crew and cargo were mainly saved.","{""Seafarers""=>{""I""=>36, ""II""=>1, ""III""=>1, ""IV""=>0, ""V""=>"""", ""VI""=>35}, ""Soldiers""=>{""I""=>"""", ""II""=>"""", ""III""=>"""", ""IV""=>1, ""V""=>"""", ""VI""=>1}, ""Passengers""=>{""I""=>"""", ""II""=>"""", ""III""=>"""", ""IV""=>4, ""V""=>"""", ""VI""=>5}}"
860.1,VOGELZANG,"Ram, Robert",680,fluit,"",Amsterdam,Amsterdam,27-06-1656,Texel,03-12-1656,15-12-1656,22-02-1657,Batavia,"","","{""Seafarers""=>{""I""=>208, ""II""=>8, ""III""=>14, ""IV""=>4, ""V""=>"""", ""VI""=>110}, ""Soldiers""=>{""I""=>"""", ""II""=>"""", ""III""=>"""", ""IV""=>"""", ""V""=>"""", ""VI""=>76}}"
861.1,HILVERSUM,"Jansz., Jakob",202,fluit,1656,Amsterdam,Amsterdam,19-10-1656,Texel,05-02-1657,12-02-1657,11-05-1657,Batavia,"","","{""Seafarers""=>{""I""=>54, ""II""=>0, ""III""=>1, ""IV""=>4, ""V""=>"""", ""VI""=>5}, ""Soldiers""=>{""I""=>"""", ""II""=>"""", ""III""=>"""", ""IV""=>1, ""V""=>"""", ""VI""=>1}}"
862.7,MALAKKA,"",1100,"","",Amsterdam,Amsterdam,22-11-1656,Vlie,18-03-1657,28-03-1657,23-05-1657,Batavia,"","The 27 soldiers who came on board at the Cape were from the ORANJE. Via S. Vincente, 23 till 28-12.","{""Seafarers""=>{""I""=>240, ""II""=>3, ""III""=>1, ""IV""=>0, ""V""=>3, ""VI""=>236}, ""Soldiers""=>{""I""=>102, ""II""=>1, ""III""=>3, ""IV""=>27, ""V""=>1, ""VI""=>125}, ""Passengers""=>{""I""=>14, ""II""=>0, ""III""=>0, ""IV""=>0, ""V""=>0, ""VI""=>14}}"
863.7,ORANJE,"",700/1200,"",1643,Zeeland,"",22-11-1656,"",17-03-1657,19-04-1657,01-07-1657,Batavia,"",At the Cape 27 soldiers went from the ORANJE to the MALACCA.,"{""Seafarers""=>{""I""=>254, ""II""=>5, ""III""=>6, ""IV""=>10, ""V""=>6, ""VI""=>252}, ""Soldiers""=>{""I""=>136, ""II""=>0, ""III""=>27, ""IV""=>2, ""V""=>0, ""VI""=>111}, ""Passengers""=>{""I""=>9, ""II""=>0, ""III""=>0, ""IV""=>0, ""V""=>0, ""VI""=>9}}"
864.2,GEKROONDE LEEUW,"",1200,"","",Enkhuizen,Amsterdam,24-12-1656,Vlie,05-05-1657,29-05-1657,10-08-1657,Batavia,"","","{""Seafarers""=>{""I""=>379, ""II""=>22, ""III""=>10, ""IV""=>0, ""V""=>25, ""VI""=>232}, ""Soldiers""=>{""I""=>"""", ""II""=>"""", ""III""=>"""", ""IV""=>0, ""V""=>"""", ""VI""=>112}, ""Passengers""=>{""I""=>8, ""II""=>0, ""III""=>0, ""IV""=>0, ""V""=>0, ""VI""=>8}}"
865.1,OOIEVAAR,"Doorn, Jakob",627,fluit,1656,Zeeland,Zeeland,24-12-1656,Wielingen,02-05-1657,22-05-1657,07-08-1657,Batavia,"","According to Daghregister 1657, 225, the ship departed with 227 men.","{""Seafarers""=>{""I""=>230, ""II""=>11, ""III""=>"""", ""IV""=>"""", ""V""=>10, ""VI""=>130}, ""Soldiers""=>{""I""=>"""", ""II""=>"""", ""III""=>"""", ""IV""=>"""", ""V""=>"""", ""VI""=>86}, ""Passengers""=>{""I""=>"""", ""II""=>"""", ""III""=>"""", ""IV""=>"""", ""V""=>"""", ""VI""=>1}}"
866.1,VENENBURG,"Juriaansz., Hendrik",703,fluit,1656,Amsterdam,Amsterdam,24-12-1656,Vlie,22-04-1657,02-05-1657,29-06-1657,Batavia,"","","{""Seafarers""=>{""I""=>172, ""II""=>2, ""III""=>9, ""IV""=>8, ""V""=>5, ""VI""=>166}, ""Soldiers""=>{""I""=>72, ""II""=>0, ""III""=>6, ""IV""=>3, ""V""=>1, ""VI""=>68}, ""Passengers""=>{""I""=>1, ""II""=>0, ""III""=>0, ""IV""=>0, ""V""=>0, ""VI""=>1}}"
867.1,VINK,"Bartelsz., Jan (died)",202,fluit,1656,Zeeland,Zeeland,24-12-1656,Wielingen,19-04-1657,27-04-1657,08-07-1657,Batavia,"",Via the west coast of Australia (Suytlandt) for an inquiry concerning the VERGULDE DRAAK. In 1668/69 sold to a Portuguese citizen of Batavia. Master became Joost Jansz. van Serooskerke.,"{""Seafarers""=>{""I""=>57, ""II""=>6, ""III""=>0, ""IV""=>1, ""V""=>6, ""VI""=>52}, ""Soldiers""=>{""I""=>18, ""II""=>0, ""III""=>0, ""IV""=>0, ""V""=>0, ""VI""=>18}}"
868.3,PHOENIX,"Stamper, Kornelis",900,"","",Amsterdam,Delft,25-12-1656,Goeree,04-04-1657,13-04-1657,12-06-1657,Batavia,"","","{""Seafarers""=>{""I""=>199, ""II""=>3, ""III""=>"""", ""IV""=>18, ""V""=>20, ""VI""=>313}, ""Soldiers""=>{""I""=>112, ""II""=>"""", ""III""=>"""", ""IV""=>4, ""V""=>"""", ""VI""=>""""}}"
869.7,HOF VAN ZEELAND,"Knibbel, Dirk Jansz.",1200,"",1642,Zeeland,Zeeland,22-01-1657,Wielingen,no call,"",17-10-1657,Batavia,"","From 10 till 27-02 back at the Wielingen. Missed the Cape because of a storm. Via Mauritius, departure: 20-08-1657.","{""Seafarers""=>{""I""=>"""", ""II""=>"""", ""III""=>"""", ""IV""=>"""", ""V""=>23, ""VI""=>282}, ""Soldiers""=>{""I""=>"""", ""II""=>"""", ""III""=>"""", ""IV""=>"""", ""V""=>"""", ""VI""=>116}}"
870.1,HASSELT,"Moker, Jakob Hendriksz.",365,pinas,1656,Amsterdam,Amsterdam,10-04-1657,Vlie,16-08-1657,"","","","","Remained for service at the Cape, and probably sailed to Batavia later on. Sailing to Arakan in 1665/66 it was wrecked.","{""Seafarers""=>{""I""=>152, ""II""=>1, ""III""=>49, ""IV""=>"""", ""V""=>"""", ""VI""=>""""}, ""Soldiers""=>{""I""=>"""", ""II""=>"""", ""III""=>32, ""IV""=>"""", ""V""=>"""", ""VI""=>""""}}"
871.1,MARIA,"Bording, Klaas Fransz.",120,jacht,"",Amsterdam,Amsterdam,10-04-1657,Vlie,13-07-1657,18-07-1658,"","","","Remained for service at the Cape. From 10-09-1657 till 29-05-1658 to Angola. The ship departed from the Cape to Batavia with 35 men. It was laid up and sold at Batavia, 13-08-1669.","{""Seafarers""=>{""I""=>38, ""II""=>0, ""III""=>1, ""IV""=>"""", ""V""=>"""", ""VI""=>""""}}"
872.8,WITTE OLIFANT,"",1000,"",1639,Amsterdam,Amsterdam,12-04-1657,Vlie,no call,"",19-01-1658,Batavia,"","Via England, where 23 men deserted.","{""Seafarers""=>{""I""=>"""", ""II""=>1, ""III""=>"""", ""IV""=>"""", ""V""=>13, ""VI""=>200}, ""Soldiers""=>{""I""=>"""", ""II""=>"""", ""III""=>"""", ""IV""=>"""", ""V""=>"""", ""VI""=>118}, ""Passengers""=>{""I""=>"""", ""II""=>"""", ""III""=>"""", ""IV""=>"""", ""V""=>"""", ""VI""=>9}}"
873.8,VERENIGDE PROVINCIEN,"Nesse, Andries v. after the Cape: Dalen, Pieter v.",1100,"",1643,Zeeland,Zeeland,13-04-1657,Wielingen,07-08-1657,27-08-1657,25-10-1657,Batavia,"","The men who embarked at the Cape came from the HASSELT and the MARIA. The master, Andries van Nesse, was dismissed because of adultery with the wife of the onderkoopman. According to Van Riebeek, II, 153, the ship departed from the Wielingen with 263 men.","{""Seafarers""=>{""I""=>276, ""II""=>7, ""III""=>12, ""IV""=>50, ""V""=>7, ""VI""=>200}, ""Soldiers""=>{""I""=>"""", ""II""=>"""", ""III""=>"""", ""IV""=>32, ""V""=>"""", ""VI""=>124}, ""Passengers""=>{""I""=>"""", ""II""=>"""", ""III""=>"""", ""IV""=>0, ""V""=>"""", ""VI""=>15}}"
874.8,ROTTERDAM,"Klaasz., Jochem ?",1100,"","",Rotterdam,Rotterdam,19-04-1657,Goeree,25-08-1657,30-09-1657,13-12-1657,Batavia,"",Laid up in 1661. At the Cape 31 seafarers and 45 soldiers were taken over by the ENKHUIZEN.,"{""Seafarers""=>{""I""=>210, ""II""=>3, ""III""=>33, ""IV""=>0, ""V""=>4, ""VI""=>173}, ""Soldiers""=>{""I""=>100, ""II""=>"""", ""III""=>48, ""IV""=>0, ""V""=>1, ""VI""=>51}, ""Passengers""=>{""I""=>8, ""II""=>"""", ""III""=>0, ""IV""=>1, ""V""=>1, ""VI""=>8}}"
875.9,ENKHUIZEN,"Zwart, Jan Kornelis",700,"","","",Enkhuizen,30-04-1657,Vlie,25-08-1657,10-09-1657,23-11-1657,Batavia,"",See the ROTTERDAM (0874).,"{""Seafarers""=>{""I""=>244, ""II""=>5, ""III""=>"""", ""IV""=>35, ""V""=>6, ""VI""=>222}, ""Soldiers""=>{""I""=>"""", ""II""=>"""", ""III""=>"""", ""IV""=>45, ""V""=>"""", ""VI""=>94}, ""Passengers""=>{""I""=>"""", ""II""=>"""", ""III""=>"""", ""IV""=>"""", ""V""=>"""", ""VI""=>2}}"
876.8,WALVIS,"Bunschoten, Barend Barendsz. Lam van",1000,"",1639,Amsterdam,Delft,27-06-1657,Goeree,02-11-1657,11-11-1657,01-02-1658,Batavia,"","","{""Seafarers""=>{""I""=>340, ""II""=>5, ""III""=>8, ""IV""=>3, ""V""=>8, ""VI""=>188}, ""Soldiers""=>{""I""=>"""", ""II""=>"""", ""III""=>12, ""IV""=>5, ""V""=>"""", ""VI""=>131}, ""Passengers""=>{""I""=>"""", ""II""=>"""", ""III""=>"""", ""IV""=>"""", ""V""=>"""", ""VI""=>8}}"
877.1,MEES,"Bastink, Maarten",202,fluit,1657,Zeeland,Zeeland,12-10-1657,Wielingen,14-04-1658,23-04-1658,05-07-1658,Batavia,"",Via Falmouth: one man deserted there. Until the Cape the voyage was severely delayed by calm and adverse winds. The ship was sold in 1673.,"{""Seafarers""=>{""I""=>63, ""II""=>7, ""III""=>6, ""IV""=>11, ""V""=>7, ""VI""=>40}, ""Soldiers""=>{""I""=>"""", ""II""=>"""", ""III""=>6, ""IV""=>1, ""V""=>"""", ""VI""=>14}, ""Passengers""=>{""I""=>"""", ""II""=>"""", ""III""=>"""", ""IV""=>"""", ""V""=>"""", ""VI""=>1}}"
878.1,SPREEUW,"",374,fluit,1657,Zeeland,Zeeland,12-10-1657,Wielingen,27-03-1658,08-04-1658,"","","",Via Plymouth: 15 men were pressed there by the English. The seven 'passengers' who embarked at the Cape were slaves.,"{""Seafarers""=>{""I""=>154, ""II""=>10, ""III""=>0, ""IV""=>3, ""V""=>12, ""VI""=>87}, ""Soldiers""=>{""I""=>"""", ""II""=>"""", ""III""=>"""", ""IV""=>0, ""V""=>"""", ""VI""=>46}, ""Passengers""=>{""I""=>"""", ""II""=>"""", ""III""=>"""", ""IV""=>7, ""V""=>"""", ""VI""=>13}}"
879.2,WAPEN VAN AMSTERDAM,"Wolf, Andries (died)",920,"",1653,Amsterdam,Amsterdam,13-10-1657,Vlie,26-03-1658,09-04-1658,04-07-1658,Batavia,"","During the voyage Andries Wolf died; Jan Jansz. Vlodrop succeeded him as master. The 16 'passengers' who embarked at the Cape were slaves, 12 of them arrived at Batavia.","{""Seafarers""=>{""I""=>317, ""II""=>11, ""III""=>7, ""IV""=>7, ""V""=>33, ""VI""=>202}, ""Soldiers""=>{""I""=>"""", ""II""=>"""", ""III""=>6, ""IV""=>2, ""V""=>"""", ""VI""=>79}, ""Passengers""=>{""I""=>"""", ""II""=>"""", ""III""=>"""", ""IV""=>16, ""V""=>"""", ""VI""=>21}}"
880.2,WAPEN VAN HOLLAND,"",920,"",1653,Amsterdam,Amsterdam,13-10-1657,Vlie,04-03-1658,19-03-1658,22-06-1658,Batavia,"","","{""Seafarers""=>{""I""=>""313(?)"", ""II""=>9, ""III""=>17, ""IV""=>0, ""V""=>10, ""VI""=>78}, ""Soldiers""=>{""I""=>"""", ""II""=>"""", ""III""=>9, ""IV""=>"""", ""V""=>"""", ""VI""=>93}, ""Passengers""=>{""I""=>"""", ""II""=>"""", ""III""=>"""", ""IV""=>"""", ""V""=>"""", ""VI""=>6}}"
881.2,AMERSFOORT,"Eldense, Frederik",1000,"",1655,Amsterdam,Amsterdam,14-10-1657,Vlie,28-03-1658,09-04-1658,01-07-1658,Batavia,"",A Portuguese slave ship carrying 250 slaves was captured off Brazil. At the arrival at the Cape about 80 of them had died and many were ill; some 100 slaves arrived at Batavia.,"{""Seafarers""=>{""I""=>323, ""II""=>29, ""III""=>14, ""IV""=>4, ""V""=>38, ""VI""=>193}, ""Soldiers""=>{""I""=>"""", ""II""=>"""", ""III""=>7, ""IV""=>4, ""V""=>"""", ""VI""=>78}, ""Passengers""=>{""I""=>"""", ""II""=>"""", ""III""=>"""", ""IV""=>"""", ""V""=>"""", ""VI""=>3}}"
882.1,ELBURG,"Pereboom, Jakob Pietersz.",360,fluit,1657,Amsterdam,Amsterdam,14-12-1657,Texel,13-04-1658,23-04-1658,16-07-1658,Batavia,"",For four weeks at Tristan da Cunha because of calm. Via Cape Leewin.,"{""Seafarers""=>{""I""=>150, ""II""=>0, ""III""=>6, ""IV""=>0, ""V""=>2, ""VI""=>93}, ""Soldiers""=>{""I""=>"""", ""II""=>"""", ""III""=>2, ""IV""=>"""", ""V""=>"""", ""VI""=>41}, ""Passengers""=>{""I""=>"""", ""II""=>"""", ""III""=>"""", ""IV""=>"""", ""V""=>"""", ""VI""=>4}}"
883.1,GEELMUIDEN,"",202,fluit,1657,Amsterdam,Amsterdam,14-12-1657,Texel,31-05-1658,14-06-1658,20-08-1658,Batavia,"","Sailing to Canton in 1659, the GEELMUIDEN was wrecked.","{""Seafarers""=>{""I""=>79, ""II""=>1, ""III""=>"""", ""IV""=>"""", ""V""=>1, ""VI""=>45}, ""Soldiers""=>{""I""=>"""", ""II""=>"""", ""III""=>"""", ""IV""=>"""", ""V""=>"""", ""VI""=>33}, ""Passengers""=>{""I""=>"""", ""II""=>"""", ""III""=>"""", ""IV""=>"""", ""V""=>"""", ""VI""=>1}}"
884.3,DORDRECHT,"Groot, Jakob Gerrit de",920,fregat?,1652,Delft,Delft,17-12-1657,Goeree,28-04-1658,13-05-1658,14-07-1658,Batavia,"",Via S. Vincente: 2 seafarers and 4 soldiers deserted there. The 30 'passengers' who embarked at the Cape were slaves; 28 of them arrived at Batavia.,"{""Seafarers""=>{""I""=>368, ""II""=>14, ""III""=>8, ""IV""=>"""", ""V""=>36, ""VI""=>200}, ""Soldiers""=>{""I""=>"""", ""II""=>"""", ""III""=>6, ""IV""=>"""", ""V""=>"""", ""VI""=>110}, ""Passengers""=>{""I""=>"""", ""II""=>"""", ""III""=>"""", ""IV""=>30, ""V""=>"""", ""VI""=>32}}"
885.4,PRINS WILLEM,"",700/1200,"",1650,Zeeland,Zeeland,25-01-1658,Wielingen,17-06-1658,05-07-1658,12-09-1658,Batavia,"",Via S. Vincente: one man deserted there.,"{""Seafarers""=>{""I""=>"""", ""II""=>16, ""III""=>20, ""IV""=>0, ""V""=>19, ""VI""=>306}, ""Soldiers""=>{""I""=>"""", ""II""=>"""", ""III""=>"""", ""IV""=>20, ""V""=>"""", ""VI""=>116}, ""Passengers""=>{""I""=>"""", ""II""=>"""", ""III""=>"""", ""IV""=>0, ""V""=>"""", ""VI""=>14}}"
886.1,LEERDAM,"",400,fluit,"",Amsterdam,Amsterdam,16-04-1658,Texel,07-08-1658,21-08-1658,02-12-1658,Batavia,"",In 1671 sold for breaking up.,"{""Seafarers""=>{""I""=>172, ""II""=>3, ""III""=>"""", ""IV""=>"""", ""V""=>12, ""VI""=>119}, ""Soldiers""=>{""I""=>"""", ""II""=>"""", ""III""=>"""", ""IV""=>"""", ""V""=>"""", ""VI""=>34}, ""Passengers""=>{""I""=>"""", ""II""=>"""", ""III""=>"""", ""IV""=>"""", ""V""=>"""", ""VI""=>2}}"
887.1,NIEUWPOORT,"",400,fluit,"","",Amsterdam,16-04-1658,Texel,25-07-1658,01-08-1658,15-10-1658,Batavia,"","","{""Seafarers""=>{""I""=>175, ""II""=>0, ""III""=>4, ""IV""=>4, ""V""=>27, ""VI""=>42}, ""Soldiers""=>{""I""=>"""", ""II""=>"""", ""III""=>3, ""IV""=>11, ""V""=>"""", ""VI""=>114}}"
888.9,HENRIETTE LOUISE,"Jansz., Gerrit",750,"",1635,Zeeland,Zeeland,05-05-1658,Wielingen,22-08-1658,01-09-1658,02-11-1658,Batavia,"","Sold in the Indies, 08-09-1664.","{""Seafarers""=>{""I""=>252, ""II""=>3, ""III""=>11, ""IV""=>7, ""V""=>5, ""VI""=>126}, ""Soldiers""=>{""I""=>"""", ""II""=>"""", ""III""=>4, ""IV""=>1, ""V""=>"""", ""VI""=>96}, ""Passengers""=>{""I""=>"""", ""II""=>"""", ""III""=>0, ""IV""=>0, ""V""=>"""", ""VI""=>15}}"
889.7,WESTFRIESLAND,"Houtschip, Jakob Jansz.",1100,"",1641,Hoorn,Hoorn,18-05-1658,Vlie,28-10-1658,08-11-1658,07-02-1659,Batavia,"","According to Daghregister, 1659, the ship departed on 08-05-1658, according to KA 1119: 31-05-1658. The ship did not call at the Cape but at Saldanha Bay: 150 men were ill.","{""Seafarers""=>{""I""=>282, ""II""=>82, ""III""=>8, ""IV""=>3, ""V""=>67, ""VI""=>210}, ""Soldiers""=>{""I""=>69, ""II""=>"""", ""III""=>3, ""IV""=>2, ""V""=>18, ""VI""=>50}, ""Passengers""=>{""I""=>5, ""II""=>"""", ""III""=>0, ""IV""=>0, ""V""=>0, ""VI""=>5}}"
890.1,GOEREE,"Vonk, Kornelis","",fluit,"","",Rotterdam,27-05-1658,Goeree,11-09-1658,18-09-1658,27-11-1658,Batavia,"","Laid up and sold at Batavia, 01-10-1669.","{""Seafarers""=>{""I""=>160, ""II""=>2, ""III""=>5, ""IV""=>0, ""V""=>2, ""VI""=>98}, ""Soldiers""=>{""I""=>"""", ""II""=>"""", ""III""=>1, ""IV""=>0, ""V""=>"""", ""VI""=>53}}"
891.1,RODE HERT,"Ruiter, Herman",340,fluit,"",Amsterdam,Rotterdam,27-05-1658,Goeree,09-09-1658,18-09-1658,19-11-1658,Batavia,"","","{""Seafarers""=>{""I""=>134, ""II""=>1, ""III""=>1, ""IV""=>8, ""V""=>6, ""VI""=>100}, ""Soldiers""=>{""I""=>"""", ""II""=>"""", ""III""=>0, ""IV""=>1, ""V""=>"""", ""VI""=>36}}"
892.1,HARP,"Konwalles, …","",fluit,"",Zeeland,Zeeland,31-05-1658,Wielingen,17-11-1658,03-12-1658,24-02-1659,Batavia,"","According to Daghregister, 1659, 32, the ship arrived at Batavia with 81 seafarers, 39 soldiers, and 5 passengers. It was wrecked on 25-06-1660 (off Taiwan?)","{""Seafarers""=>{""I""=>79, ""II""=>5, ""III""=>7, ""IV""=>9, ""V""=>5, ""VI""=>76}, ""Soldiers""=>{""I""=>49, ""II""=>0, ""III""=>12, ""IV""=>2, ""V""=>0, ""VI""=>39}, ""Passengers""=>{""I""=>5, ""II""=>0, ""III""=>0, ""IV""=>0, ""V""=>0, ""VI""=>5}}"
893.1,IMMENHORN,"Jonas, Dirk Dirksz.","",galjoot,"",Enkhuizen,Enkhuizen,22-08-1658,Vlie,02-02-1659,17-02-1659,02-06-1659,Batavia,"","According to KA 1119 the ship departed from the Vlie on 22-10-1658, according to KA 3971 the date of departure was 22-11-1658. Via Australia. During a battle against the Chinese the ship was wrecked, probably in 1661.","{""Seafarers""=>{""I""=>34, ""II""=>0, ""III""=>0, ""IV""=>4, ""V""=>2, ""VI""=>36}}"
894.2,ARNHEM,"Timonsz., Jan",1000,"",1654,Amsterdam,Amsterdam,22-10-1658,Vlie,16-03-1659,30-03-1659,08-07-1659,Batavia,"",Fleet (0893-0899) under command of Adriaan van Almonde.,"{""Seafarers""=>{""I""=>240, ""II""=>11, ""III""=>12, ""IV""=>0, ""V""=>7, ""VI""=>221}, ""Soldiers""=>{""I""=>107, ""II""=>"""", ""III""=>6, ""IV""=>0, ""V""=>6, ""VI""=>95}, ""Passengers""=>{""I""=>8, ""II""=>"""", ""III""=>8, ""IV""=>0, ""V""=>0, ""VI""=>0}}"
895.1,KORTENHOEF,"Pieters, Luit",216,fluit,1657,Amsterdam,Amsterdam,22-10-1658,Vlie,22-03-1659,01-04-1659,20-06-1659,Batavia,"","Via Canary Islands. Via Mauritius to accompany the PAREL which made water (see 0897). Attempting to relieve Fort Zeelandia at Formosa the KORTENHOEF was wrecked, 16-09-1661.","{""Seafarers""=>{""I""=>49, ""II""=>1, ""III""=>"""", ""IV""=>"""", ""V""=>1, ""VI""=>48}, ""Soldiers""=>{""I""=>18, ""II""=>0, ""III""=>"""", ""IV""=>"""", ""V""=>0, ""VI""=>18}}"
