Number,Name of ship,Master,Tonnage,Type of ship,Built,Yard,Chamber,Date of departure,Place of departure,Arrival at Cape,Departure from Cape,Date of arrival at destination,Place of arrival,Chamber for which cargo is destined,Particulars,people
1954.1,HOEDEKENSKERKE,"Visser, Paulus",830,"",1704,Zeeland,Zeeland,13-10-1704,Wielingen,07-03-1705,14-04-1705,29-06-1705,Batavia,"","","{""Soldiers""=>{""I""=>113, ""II""=>17, ""III""=>20, ""IV""=>2, ""V""=>17, ""VI""=>78}, ""Passengers""=>{""I""=>2, ""II""=>0, ""III""=>2, ""IV""=>0, ""V""=>0, ""VI""=>0}}"
1955.1,NEPTUNUS,"Oostendorp, Pieter",858,"",1704,Amsterdam,Amsterdam,13-10-1704,Texel,09-03-1705,28-03-1705,25-06-1705,Batavia,"",From 17-10 till 18-10-1704 at Plymouth. Four passengers were stowaways.,"{""Soldiers""=>{""I""=>108, ""II""=>5, ""III""=>10, ""IV""=>9, ""V""=>6, ""VI""=>101}, ""Passengers""=>{""I""=>12, ""II""=>0, ""III""=>2, ""IV""=>4, ""V""=>0, ""VI""=>14}}"
1956.5,OOSTERSTEIN,"Wersijn, Jan de",1139,"",1693,Zeeland,Zeeland,13-10-1704,Wielingen,07-03-1705,14-04-1705,08-07-1705,Batavia,"","","{""Soldiers""=>{""I""=>145, ""II""=>39, ""III""=>23, ""IV""=>9, ""V""=>39, ""VI""=>92}}"
1957.1,SLOTEN,"Gerrits, Koert",610,fluit,1704,Amsterdam,Amsterdam,13-10-1704,Texel,08-03-1705,27-03-1705,08-07-1705,Batavia,"","","{""Soldiers""=>{""I""=>50, ""II""=>1, ""III""=>6, ""IV""=>4, ""V""=>1, ""VI""=>47}}"
1958.4,DONKERVLIET,"Zijde, Gerrit van der",794,"",1696,Zeeland,Delft,24-12-1704,Goeree,02-05-1705,16-05-1705,20-08-1705,Batavia,"","","{""Soldiers""=>{""I""=>78, ""II""=>1, ""III""=>7, ""IV""=>8, ""V""=>1, ""VI""=>78}}"
1959.1,MONSTER,"Walburg, Jan",572,fluit,1704,Rotterdam,Rotterdam,24-12-1704,Goeree,30-05-1705,18-06-1705,10-09-1705,Batavia,"",The ship departed for Japan on 30-06-1708 and was lost.,"{""Soldiers""=>{""I""=>54, ""II""=>4, ""III""=>4, ""IV""=>2, ""V""=>4, ""VI""=>48}, ""Passengers""=>{""I""=>2, ""II""=>0, ""III""=>1, ""IV""=>0, ""V""=>0, ""VI""=>1}}"
1961.4,BERKENRODE,"Jansekin, Jan",635,fluit,1694,Amsterdam,Enkhuizen,08-01-1705,Texel,"","","","","",The ship was captured on 14-02-1705 by two pirates from St. Malo.,"{""Total""=>{""I""=>150, ""II""=>"""", ""III""=>"""", ""IV""=>"""", ""V""=>"""", ""VI""=>""""}}"
1963.1,HAM,"Lavia, Karel",580,fluit,1704,Hoorn,Hoorn,08-01-1705,Texel,29-05-1705,18-06-1705,24-08-1705,Batavia,"",The ship stayed from 10-03 till 13-03-1705 at S. Tiago.,"{""Seafarers""=>{""I""=>116, ""II""=>1, ""III""=>9, ""IV""=>1, ""V""=>1, ""VI""=>107}, ""Soldiers""=>{""I""=>44, ""II""=>0, ""III""=>3, ""IV""=>5, ""V""=>0, ""VI""=>46}, ""Passengers""=>{""I""=>0, ""II""=>0, ""III""=>0, ""IV""=>6, ""V""=>0, ""VI""=>6}}"
1964.2,HUIS TE HEMERT,"Willemsz., Jakob",612,fluit,1701,Amsterdam,Amsterdam,08-01-1705,Texel,26-05-1705,18-06-1705,20-08-1705,Batavia,"",The passengers were stowaways.,"{""Soldiers""=>{""I""=>61, ""II""=>3, ""III""=>3, ""IV""=>3, ""V""=>3, ""VI""=>58}, ""Passengers""=>{""I""=>4, ""II""=>0, ""III""=>1, ""IV""=>0, ""V""=>0, ""VI""=>3}}"
1965.3,SCHOONDERLOO,"Kroon, Paulus",622,fluit,1693,Delft,Amsterdam,08-01-1705,Texel,05-06-1705,18-06-1705,03-09-1705,Batavia,"",The passengers was a stowaway.,"{""Soldiers""=>{""I""=>61, ""II""=>0, ""III""=>3, ""IV""=>1, ""V""=>0, ""VI""=>59}, ""Passengers""=>{""I""=>1, ""II""=>0, ""III""=>0, ""IV""=>0, ""V""=>0, ""VI""=>1}}"
1966.4,UNIE,"Bogaard, Adriaan",1080,pinas,1696,Amsterdam,Amsterdam,08-01-1705,Texel,11-06-1705,29-06-1705,08-09-1705,Batavia,"",Two passengers were stowaways. From 14-03 till 19-03-1705 at S. Tiago; 4 French prisoners were taken aboard.,"{""Soldiers""=>{""I""=>106, ""II""=>3, ""III""=>9, ""IV""=>5, ""V""=>5, ""VI""=>97}, ""Passengers""=>{""I""=>13, ""II""=>0, ""III""=>6, ""IV""=>0, ""V""=>0, ""VI""=>11}}"
1967.3,GENERALE VREDE,"Kalf, Egbert",1008,pinas,1699,Amsterdam,Amsterdam,08-01-1705,Texel,05-05-1705,29-05-1705,26-07-1705,Batavia,"","","{""Soldiers""=>{""I""=>98, ""II""=>2, ""III""=>4, ""IV""=>7, ""V""=>2, ""VI""=>99}, ""Passengers""=>{""I""=>4, ""II""=>0, ""III""=>0, ""IV""=>0, ""V""=>0, ""VI""=>4}}"
1968.2,ZANDHORST,"Rode, Jan de",520,fluit,1701,Amsterdam,Amsterdam,08-01-1705,Texel,11-06-1705,06-08-1705,22-10-1705,Batavia,"",At S. Tiago from 14-03 till 19-03-1705. One seafarer and one soldier disembarked.,"{""Soldiers""=>{""I""=>51, ""II""=>0, ""III""=>1, ""IV""=>1, ""V""=>0, ""VI""=>49}}"
1969.2,DIEMEN,"Engele, Marten",596,fluit,1700,Amsterdam,Zeeland,01-03-1705,Wielingen,14-06-1705,16-07-1705,02-10-1705,Batavia,"","","{""Soldiers""=>{""I""=>60, ""II""=>3, ""III""=>2, ""IV""=>6, ""V""=>3, ""VI""=>61}}"
1970.2,GANSENHOEF,"Vlieger, Joost de",640,fluit,1702,Amsterdam,Zeeland,01-03-1705,Wielingen,14-06-1705,16-07-1705,10-09-1705,Batavia,"","","{""Soldiers""=>{""I""=>63, ""II""=>0, ""III""=>0, ""IV""=>2, ""V""=>1, ""VI""=>64}, ""Passengers""=>{""I""=>4, ""II""=>0, ""III""=>2, ""IV""=>0, ""V""=>0, ""VI""=>2}}"
1971.5,SIRJANSLAND,"Balle, Kornelis",759,"",1691,Zeeland,Zeeland,01-03-1705,Wielingen,12-06-1705,16-07-1705,16-09-1705,Batavia,"",The ship stayed from 07-03 till 18-03-1705 at Falmouth. Laid up at Batavia in 1711.,"{""Soldiers""=>{""I""=>86, ""II""=>1, ""III""=>5, ""IV""=>4, ""V""=>1, ""VI""=>84}, ""Passengers""=>{""I""=>10, ""II""=>1, ""III""=>4, ""IV""=>0, ""V""=>1, ""VI""=>3}}"
1972.2,WESTHOVEN,"Akkerman, Jan",776,"",1698,Zeeland,Zeeland,01-03-1705,Wielingen,12-06-1705,02-07-1705,20-09-1705,Batavia,"","","{""Soldiers""=>{""I""=>82, ""II""=>5, ""III""=>4, ""IV""=>6, ""V""=>5, ""VI""=>79}, ""Passengers""=>{""I""=>2, ""II""=>0, ""III""=>0, ""IV""=>0, ""V""=>0, ""VI""=>2}}"
1973.3,ABBEKERK,"Sombeek, Frans",242,fluit,1698,Hoorn,Hoorn,10-05-1705,Texel,29-09-1705,01-11-1705,03-01-1706,Batavia,"","","{""Soldiers""=>{""I""=>40, ""II""=>2, ""III""=>6, ""IV""=>3, ""V""=>2, ""VI""=>35}, ""Passengers""=>{""I""=>0, ""II""=>0, ""III""=>0, ""IV""=>5, ""V""=>0, ""VI""=>5}}"
1974.1,BELVLIET,"Chef, Anthonie",586,fluit,1704,Enkhuizen,Enkhuizen,10-05-1705,Texel,25-10-1705,30-11-1705,24-02-1706,Batavia,"","","{""Soldiers""=>{""I""=>60, ""II""=>11, ""III""=>10, ""IV""=>26, ""V""=>11, ""VI""=>48}, ""Passengers""=>{""I""=>1, ""II""=>0, ""III""=>0, ""IV""=>5, ""V""=>0, ""VI""=>6}}"
1976.6,DRIEBERGEN,"Palestein, Jan",616,fluit,1692,Amsterdam,Amsterdam,10-05-1705,Texel,11-11-1705,10-12-1705,16-02-1706,Batavia,"",The passenger was a stowaway. Laid up at Batavia on 11-01-1714.,"{""Seafarers""=>{""I""=>88, ""II""=>22, ""III""=>9, ""IV""=>15, ""V""=>22, ""VI""=>74}, ""Soldiers""=>{""I""=>33, ""II""=>5, ""III""=>10, ""IV""=>26, ""V""=>5, ""VI""=>44}, ""Passengers""=>{""I""=>0, ""II""=>0, ""III""=>0, ""IV""=>1, ""V""=>0, ""VI""=>1}}"
1977.4,HOF VAN ILPENDAM,"Kodde, David",700,pinas,1691,Amsterdam,Amsterdam,10-05-1705,Texel,29-09-1705,07-11-1705,18-01-1706,Batavia,"",Among the passengers was the reverend Francois Valentijn. Laid up at Batavia in 1713.,"{""Soldiers""=>{""I""=>86, ""II""=>4, ""III""=>10, ""IV""=>4, ""V""=>4, ""VI""=>76}, ""Passengers""=>{""I""=>19, ""II""=>0, ""III""=>2, ""IV""=>0, ""V""=>0, ""VI""=>17}}"
1978.1,RIJNENBURG,"Klunder, Jan de",618,fluit,1704,Amsterdam,Amsterdam,10-05-1705,Texel,02-10-1705,07-11-1705,13-02-1706,Batavia,"","","{""Soldiers""=>{""I""=>62, ""II""=>4, ""III""=>4, ""IV""=>5, ""V""=>5, ""VI""=>58}}"
1979.4,VRIJBURG,"Kroes, Diedlof",784,"",1695,Zeeland,Amsterdam,10-05-1705,Texel,12-09-1705,02-10-1705,18-12-1705,Batavia,"","","{""Soldiers""=>{""I""=>95, ""II""=>4, ""III""=>1, ""IV""=>8, ""V""=>4, ""VI""=>78}, ""Passengers""=>{""I""=>4, ""II""=>0, ""III""=>0, ""IV""=>0, ""V""=>0, ""VI""=>4}}"
1980.5,IJSSELMONDE,"Overraad, Kornelis van",832,"",1693,Rotterdam,Rotterdam,20-05-1705,Goeree,28-09-1705,31-10-1705,02-01-1706,Batavia,"",The passenger was a stowaway.,"{""Soldiers""=>{""I""=>82, ""II""=>8, ""III""=>9, ""IV""=>2, ""V""=>9, ""VI""=>67}, ""Passengers""=>{""I""=>1, ""II""=>0, ""III""=>0, ""IV""=>0, ""V""=>0, ""VI""=>1}}"
1981.1,WASSENAAR,"Vos, Melchior de",804,"",1704,Delft,Delft,20-05-1705,Goeree,11-09-1705,02-10-1705,23-12-1705,Batavia,"","","{""Soldiers""=>{""I""=>83, ""II""=>7, ""III""=>10, ""IV""=>9, ""V""=>7, ""VI""=>75}}"
1983.1,HERSTELDE LEEUW,"Gillisz., Kornelis",1138,"",1704,Zeeland,Zeeland,02-10-1705,Wielingen,25-02-1706,23-03-1706,17-06-1706,Batavia,"","","{""Seafarers""=>{""I""=>169, ""II""=>3, ""III""=>27, ""IV""=>11, ""V""=>3, ""VI""=>150}, ""Soldiers""=>{""I""=>121, ""II""=>4, ""III""=>35, ""IV""=>9, ""V""=>4, ""VI""=>91}, ""Passengers""=>{""I""=>3, ""II""=>0, ""III""=>2, ""IV""=>1, ""V""=>0, ""VI""=>2}}"
1984.1,BAARZANDE,"Jansz., Ameland",786,"",1705,Amsterdam,Amsterdam,16-11-1705,Texel,09-05-1706,30-05-1706,19-08-1706,Batavia,"",One of the passengers was a stowaway. From 19-11-1705 till 02-01-1706 at Duins; from 04-01 till 18-01-1706 at Portsmouth.,"{""Soldiers""=>{""I""=>99, ""II""=>1, ""III""=>16, ""IV""=>8, ""V""=>4, ""VI""=>81}, ""Passengers""=>{""I""=>5, ""II""=>0, ""III""=>3, ""IV""=>1, ""V""=>0, ""VI""=>3}}"
1985.2,BEVERWAART,"Ben, Hendrik Jurriaansz.",760,"",1702,Amsterdam,Amsterdam,16-11-1705,Texel,04-05-1706,30-05-1706,16-08-1706,Batavia,"",At Duins from 19-11-1705 till 02-01-1706; at Portsmouth from 04-01 till 18-01-1706.,"{""Soldiers""=>{""I""=>97, ""II""=>"""", ""III""=>7, ""IV""=>3, ""V""=>10, ""VI""=>83}}"
1986.1,LIMBURG,"Maas, Klaas",810,"",1704,Amsterdam,Amsterdam,16-11-1705,Texel,04-05-1706,25-05-1706,28-07-1706,Batavia,"",One of the passengers was a stowaway. From 19-11-1705 till 02-01-1706 and from 06-01 till 18-01-1706 at Portsmouth. Three seafarers and one soldier deserted.,"{""Soldiers""=>{""I""=>97, ""II""=>0, ""III""=>6, ""IV""=>4, ""V""=>1, ""VI""=>93}, ""Passengers""=>{""I""=>6, ""II""=>0, ""III""=>4, ""IV""=>0, ""V""=>0, ""VI""=>2}}"
1987.1,ZUIDERBURG,"Vis, Joris",618,fluit,1704,Amsterdam,Amsterdam,16-11-1705,Texel,04-05-1706,30-05-1706,08-08-1706,Batavia,"",At Duins from 19-11-1705 till 02-01-1706. At Portsmouth 07-01-1706 till 18-01-1706.,"{""Soldiers""=>{""I""=>48, ""II""=>0, ""III""=>3, ""IV""=>3, ""V""=>0, ""VI""=>48}}"
1988.5,GRIMMESTEIN,"Groot, Robbert de",759,"",1696,Amsterdam,Delft,04-01-1706,Goeree,02-05-1706,25-05-1706,30-07-1706,Batavia,"","","{""Soldiers""=>{""I""=>75, ""II""=>1, ""III""=>4, ""IV""=>1, ""V""=>1, ""VI""=>71}, ""Passengers""=>{""I""=>5, ""II""=>0, ""III""=>0, ""IV""=>0, ""V""=>0, ""VI""=>5}}"
1989.2,SUIKERMOLEN,"Bogaard, Jakob",720,fluit,1701,Zeeland,Rotterdam,04-01-1706,Hellevoetsluis,12-05-1706,08-06-1706,16-08-1706,Batavia,"",Laid up at Batavia on 24-06-1716.,"{""Soldiers""=>{""I""=>44, ""II""=>1, ""III""=>2, ""IV""=>8, ""V""=>1, ""VI""=>49}, ""Passengers""=>{""I""=>0, ""II""=>0, ""III""=>0, ""IV""=>2, ""V""=>0, ""VI""=>2}}"
1991.2,DEN BERG,"Timmerman, Adriaan",836,"",1701,Amsterdam,Amsterdam,20-01-1706,Texel,18-06-1706,10-08-1706,26-10-1706,Batavia,"","The passenger at departure was a stowaway. From 31-01 till 03-02-1706 at Portsmouth, from 12-02 till 23-02-1706 at Torbay.","{""Seafarers""=>{""I""=>120, ""II""=>12, ""III""=>6, ""IV""=>6, ""V""=>13, ""VI""=>107}, ""Soldiers""=>{""I""=>81, ""II""=>13, ""III""=>3, ""IV""=>5, ""V""=>13, ""VI""=>70}, ""Passengers""=>{""I""=>1, ""II""=>0, ""III""=>0, ""IV""=>2, ""V""=>0, ""VI""=>3}}"
1993.4,HORSTENDAAL,"Schut, Arie",688,pinas,1699,Amsterdam,Amsterdam,20-01-1706,Texel,26-06-1706,31-07-1706,07-10-1706,Batavia,"",From 31-01 till 03-02-1706 at Portsmouth; at Torbay from 12-02 till 23-02-1706.,"{""Seafarers""=>{""I""=>124, ""II""=>6, ""III""=>9, ""IV""=>1, ""V""=>9, ""VI""=>107}, ""Soldiers""=>{""I""=>80, ""II""=>6, ""III""=>8, ""IV""=>4, ""V""=>7, ""VI""=>69}, ""Passengers""=>{""I""=>9, ""II""=>0, ""III""=>1, ""IV""=>0, ""V""=>0, ""VI""=>8}}"
1994.4,JERUSALEM,"Mina, Willem",622,fluit,1693,Rotterdam,Hoorn,20-01-1706,Texel,25-06-1706,31-07-1706,12-10-1706,Batavia,"",The passenger was a stowaway. From 31-01 till 03-02-1706 at Portsmouth; at Torbay from 12-02 till 23-02-1706.,"{""Soldiers""=>{""I""=>39, ""II""=>4, ""III""=>11, ""IV""=>13, ""V""=>4, ""VI""=>37}, ""Passengers""=>{""I""=>1, ""II""=>0, ""III""=>0, ""IV""=>0, ""V""=>0, ""VI""=>1}}"
1995.1,SCHELLENBERG,"Korver, Dirk",630,fluit,1705,Amsterdam,Amsterdam,20-01-1706,Texel,26-06-1706,31-07-1706,06-10-1706,Batavia,"","One of the passengers was a stowaway, another one was found at the Cape. From 30-01 till 03-02-1706 at Portsmouth; from 12-02 till 23-02-1706 at Torbay.","{""Soldiers""=>{""I""=>61, ""II""=>0, ""III""=>10, ""IV""=>4, ""V""=>0, ""VI""=>55}, ""Passengers""=>{""I""=>3, ""II""=>0, ""III""=>0, ""IV""=>1, ""V""=>1, ""VI""=>3}}"
1996.1,DONAU,"Pikkereeuw, Jakob",794,"",1705,Zeeland,Zeeland,20-02-1706,Wielingen,26-07-1706,18-08-1706,29-10-1706,Batavia,"",From 06-03 till 08-03-1706 at the Orcades.,"{""Soldiers""=>{""I""=>99, ""II""=>5, ""III""=>19, ""IV""=>16, ""V""=>6, ""VI""=>95}}"
1997.4,THEEBOOM,"Opterwilt, Pieter",526,fluit,1699,Amsterdam,Zeeland,20-02-1706,Wielingen,31-03-1707,06-05-1707,30-07-1707,Batavia,"",From 04-04 till 18-09-1706 in Norway.,"{""Soldiers""=>{""I""=>50, ""II""=>0, ""III""=>0, ""IV""=>7, ""V""=>48, ""VI""=>9}, ""Passengers""=>{""I""=>0, ""II""=>"""", ""III""=>0, ""IV""=>2, ""V""=>0, ""VI""=>2}}"
1998.2,KIEFHOEK,"Krijne, Dirk",832,"",1701,Rotterdam,Rotterdam,04-05-1706,Goeree,16-08-1706,16-09-1706,02-12-1706,Batavia,"","","{""Soldiers""=>{""I""=>77, ""II""=>11, ""III""=>16, ""IV""=>14, ""V""=>"""", ""VI""=>64}, ""Passengers""=>{""I""=>0, ""II""=>0, ""III""=>0, ""IV""=>5, ""V""=>"""", ""VI""=>5}}"
1999.1,NATERS,"Haveluk, Leendert",210,jacht,1705,Delft,Delft,04-05-1706,Goeree,28-08-1706,16-09-1706,02-12-1706,Batavia,"",The passenger at departure was a stowaway. The ship was laid up at Batavia on 18-10-1718.,"{""Soldiers""=>{""I""=>13, ""II""=>0, ""III""=>1, ""IV""=>1, ""V""=>1, ""VI""=>13}, ""Passengers""=>{""I""=>1, ""II""=>0, ""III""=>0, ""IV""=>6, ""V""=>0, ""VI""=>7}}"
2000.1,HARINGTUIN,"Vermeulen, Huibert",618,fluit,1705,Enkhuizen,Enkhuizen,09-05-1706,Texel,21-10-1706,27-11-1706,04-02-1707,Batavia,"",From 17-05 till 07-06-1706 at Torbay.,"{""Soldiers""=>{""I""=>61, ""II""=>"""", ""III""=>4, ""IV""=>11, ""V""=>9, ""VI""=>52}, ""Passengers""=>{""I""=>3, ""II""=>0, ""III""=>1, ""IV""=>3, ""V""=>0, ""VI""=>5}}"
2001.6,SPIEGEL,"Daal, Herman Jurriaansz.",831,pinas,1693,Amsterdam,Amsterdam,09-05-1706,Texel,19-10-1706,19-11-1706,30-01-1707,Batavia,"",Two passengers were stowaways. At Torbay from 12-05 till 07-06-1706. Laid up at Batavia in 1712.,"{""Soldiers""=>{""I""=>81, ""II""=>"""", ""III""=>1, ""IV""=>8, ""V""=>8, ""VI""=>81}, ""Passengers""=>{""I""=>10, ""II""=>"""", ""III""=>0, ""IV""=>1, ""V""=>2, ""VI""=>5}}"
2002.3,OEGSTGEEST,"Eekhout, Jan",576,hekboot,1699,Amsterdam,Amsterdam,09-05-1706,Texel,24-10-1706,04-12-1706,02-03-1707,Batavia,"",At Torbay from 12-05 till 07-06-1706.,"{""Soldiers""=>{""I""=>60, ""II""=>"""", ""III""=>2, ""IV""=>3, ""V""=>10, ""VI""=>51}, ""Passengers""=>{""I""=>1, ""II""=>0, ""III""=>0, ""IV""=>0, ""V""=>0, ""VI""=>1}}"
2003.2,HUIS TE ROZENBURG,"Marre, Herman de",576,fluit,1702,Amsterdam,Amsterdam,09-05-1706,Texel,11-12-1706,19-01-1707,27-04-1707,Batavia,"",From 17-05 till 07-06-1706 at Torbay.,"{""Soldiers""=>{""I""=>64, ""II""=>"""", ""III""=>12, ""IV""=>30, ""V""=>35, ""VI""=>47}}"
2004 4,VENHUIZEN,"Stevenant, Simon",250,fluit,1697,Enkhuizen,Hoorn,09-05-1706,Texel,21-10-1706,27-11-1706,16-02-1707,Batavia,"",At Torbay from 17-05 till 07-06-1706. Laid up at Batavia in 1711.,"{""Soldiers""=>{""I""=>47, ""II""=>"""", ""III""=>3, ""IV""=>9, ""V""=>6, ""VI""=>47}, ""Passengers""=>{""I""=>1, ""II""=>0, ""III""=>1, ""IV""=>0, ""V""=>0, ""VI""=>0}}"
2005.2,ZOELEN,"Zwart, Christiaan",656,fluit,1699,Rotterdam,Amsterdam,09-05-1706,Texel,25-12-1706,19-01-1707,03-05-1707,Batavia,"",At Torbay from 17-05 till 07-06-1706. Laid up at Batavia on 11-01-1714.,"{""Soldiers""=>{""I""=>65, ""II""=>"""", ""III""=>9, ""IV""=>1, ""V""=>5, ""VI""=>52}, ""Passengers""=>{""I""=>1, ""II""=>0, ""III""=>0, ""IV""=>1, ""V""=>0, ""VI""=>2}}"
2007.3,CONCORDIA,"Richtsnoer, Anthonie Kornelisz. (died)",900,"",1696,Delft,Zeeland,29-07-1706,Wielingen,12-12-1706,08-01-1707,06-04-1707,Batavia,"",The master died between the Cape and Batavia.,"{""Seafarers""=>{""I""=>128, ""II""=>9, ""III""=>36, ""IV""=>8, ""V""=>5, ""VI""=>95}, ""Soldiers""=>{""I""=>86, ""II""=>"""", ""III""=>21, ""IV""=>4, ""V""=>8, ""VI""=>61}}"
2008.2,PETER EN PAUL,"Matthijsz., Hendrik",278,fregat,1697,Amsterdam,Amsterdam,02-11-1706,Texel,20-02-1707,08-03-1707,20-05-1707,Batavia,"",The passenger was a stowaway. Laid up on 30-11-1717 at Batavia.,"{""Soldiers""=>{""I""=>46, ""II""=>"""", ""III""=>2, ""IV""=>1, ""V""=>2, ""VI""=>43}, ""Passengers""=>{""I""=>1, ""II""=>0, ""III""=>0, ""IV""=>0, ""V""=>0, ""VI""=>1}}"
2010.4,SCHOONDERLOO,"Verduin, Jakob Arendsz.",622,fluit,1693,Delft,Delft,21-12-1706,Goeree,08-06-1707,02-07-1707,07-09-1707,Batavia,"",The two passengers at departure were stowaways. From 05-01 till 07-02-1707 at Torbay.,"{""Seafarers""=>{""I""=>88, ""II""=>2, ""III""=>5, ""IV""=>0, ""V""=>3, ""VI""=>82}, ""Soldiers""=>{""I""=>59, ""II""=>"""", ""III""=>2, ""IV""=>2, ""V""=>1, ""VI""=>56}, ""Passengers""=>{""I""=>2, ""II""=>0, ""III""=>0, ""IV""=>1, ""V""=>0, ""VI""=>3}}"
2011.1,BARNEVELD,"Hage, Adolf",1008,"",1706,Amsterdam,Amsterdam,25-12-1706,Texel,06-05-1707,10-06-1707,10-08-1707,Batavia,"","","{""Soldiers""=>{""I""=>136, ""II""=>"""", ""III""=>16, ""IV""=>4, ""V""=>3, ""VI""=>128}, ""Passengers""=>{""I""=>5, ""II""=>0, ""III""=>5, ""IV""=>0, ""V""=>0, ""VI""=>0}}"
2012.5,KATTENDIJK,"Geus, Kornelis de",759,"",1694,Zeeland,Amsterdam,25-12-1706,Texel,16-04-1707,06-05-1707,10-07-1707,Batavia,"",Two of the passengers were stowaways. The ship was wrecked in Sunda Strait in April 1709.,"{""Soldiers""=>{""I""=>99, ""II""=>0, ""III""=>13, ""IV""=>5, ""V""=>0, ""VI""=>91}, ""Passengers""=>{""I""=>4, ""II""=>0, ""III""=>2, ""IV""=>2, ""V""=>0, ""VI""=>4}}"
2013.1,KORSSLOOT,"Wormer, Jurriaan",630,fluit,1705,Hoorn,Hoorn,25-12-1706,Texel,06-05-1707,15-06-1707,12-08-1707,Batavia,"","","{""Soldiers""=>{""I""=>48, ""II""=>"""", ""III""=>7, ""IV""=>4, ""V""=>3, ""VI""=>42}}"
2014.5,OVERNES,"Kalis, Pieter",616,fluit,1696,Amsterdam,Amsterdam,25-12-1706,Texel,06-05-1707,31-05-1707,02-08-1707,Batavia,"",The passengers were stowaways. Laid up at Batavia on 21-06-1718.,"{""Soldiers""=>{""I""=>52, ""II""=>"""", ""III""=>3, ""IV""=>1, ""V""=>2, ""VI""=>48}, ""Passengers""=>{""I""=>2, ""II""=>0, ""III""=>0, ""IV""=>0, ""V""=>0, ""VI""=>2}}"
2015.2,TAXISBOOM,"Vlierden, Dionys van",614,fluit,1699,Delft,Amsterdam,25-12-1706,Texel,06-05-1707,23-05-1707,19-07-1707,Batavia,"",The two passengers at departure were stowaways. The ship taken by pirates at the Smalle Baai in 1707.,"{""Passengers""=>{""I""=>2, ""II""=>0, ""III""=>0, ""IV""=>3, ""V""=>0, ""VI""=>5}}"
2016.4,HUIS TER DUINE,"Tessing, Jan",588,jacht,1693,Zeeland,Zeeland,06-01-1707,Vlissingen,06-05-1707,10-06-1707,11-08-1707,Batavia,"",The ship was laid up at Batavia on 30-11-1717.,"{""Soldiers""=>{""I""=>63, ""II""=>"""", ""III""=>10, ""IV""=>3, ""V""=>6, ""VI""=>50}, ""Passengers""=>{""I""=>1, ""II""=>0, ""III""=>0, ""IV""=>0, ""V""=>0, ""VI""=>1}}"
2017.1,VADERLAND GETROUW,"Buscop, Frans",848,"",1705,Zeeland,Zeeland,06-01-1707,Vlissingen,05-05-1707,31-05-1707,07-08-1707,Batavia,"","One of the passengers was Jakob Roggeveen, later explorer of the Pacific (1721-1722).","{""Soldiers""=>{""I""=>84, ""II""=>"""", ""III""=>14, ""IV""=>3, ""V""=>2, ""VI""=>71}, ""Passengers""=>{""I""=>2, ""II""=>0, ""III""=>0, ""IV""=>0, ""V""=>0, ""VI""=>2}}"
2018.1,ARION,"Zandvoort, Jan",630,fluit,1706,Amsterdam,Amsterdam,08-01-1707,Texel,13-06-1707,06-07-1707,15-09-1707,Batavia,"","Together with GAMRON (2019), 'T GHIJN (2020), HUIS TE HEMERT (2021), HOEDEKENSKERKE (2022) and HUIS TE LOO (2023) 04-02 till 07-02-1707 at Duins and 07-02 till 27-02-1707 at Portsmouth. Among the passengers were four stowaways.","{""Soldiers""=>{""I""=>66, ""II""=>1, ""III""=>4, ""IV""=>2, ""V""=>1, ""VI""=>63}, ""Passengers""=>{""I""=>8, ""II""=>0, ""III""=>4, ""IV""=>0, ""V""=>0, ""VI""=>4}}"
2019.1,GAMRON,"Weiland, Jakob",848,"",1706,Amsterdam,Amsterdam,08-01-1707,Texel,11-06-1707,03-07-1707,08-09-1707,Batavia,"",See no. 2018.,"{""Soldiers""=>{""I""=>105, ""II""=>"""", ""III""=>4, ""IV""=>5, ""V""=>4, ""VI""=>102}, ""Passengers""=>{""I""=>1, ""II""=>0, ""III""=>0, ""IV""=>0, ""V""=>0, ""VI""=>1}}"
2020.2,'T GHIJN,"Kroon, Paulus",810,"",1701,Amsterdam,Amsterdam,08-01-1707,Texel,11-06-1707,10-07-1707,11-09-1707,Batavia,"",See no. 2018. Among the passengers were two stowaways; one disembarked at the Cape.,"{""Soldiers""=>{""I""=>94, ""II""=>"""", ""III""=>6, ""IV""=>2, ""V""=>1, ""VI""=>89}, ""Passengers""=>{""I""=>4, ""II""=>0, ""III""=>1, ""IV""=>0, ""V""=>0, ""VI""=>3}}"
2021.3,HUIS TE HEMERT,"Wormer, Lukas Koertsz.",612,fluit,1701,Amsterdam,Enkhuizen,08-01-1707,Texel,10-06-1707,03-07-1707,07-09-1707,Batavia,"",See no. 2018,"{""Soldiers""=>{""I""=>66, ""II""=>"""", ""III""=>6, ""IV""=>1, ""V""=>3, ""VI""=>58}}"
2022.2,HOEDEKENSKERKE,"Willemsz., Jakob",830,"",1704,Zeeland,Amsterdam,08-01-1707,Texel,11-06-1707,03-07-1707,08-09-1707,Batavia,"",See no. 2018. Among the passengers were five stowaways.,"{""Soldiers""=>{""I""=>88, ""II""=>"""", ""III""=>11, ""IV""=>9, ""V""=>2, ""VI""=>84}, ""Passengers""=>{""I""=>9, ""II""=>"""", ""III""=>0, ""IV""=>0, ""V""=>1, ""VI""=>8}}"
